Title,Average Rating,Director,Writer,Metascore,Release Date,Country of Origin,Languages,Worldwide Gross,Runtime
Reds,7.3,Warren Beatty,"Warren Beatty, Trevor Griffiths",76.0,1984,United States,"English, Russian, German, French, Finnish, Italian",40382788.0,3 hours 15 minutes
Over the Edge,7.3,Jonathan Kaplan,"Charles S. Haas, Tim Hunter",67.0,1979,United States,English,20101247.0,1 hour 35 minutes
Pom Poko,7.3,Isao Takahata,Isao Takahata,77.0,1994,Japan,Japanese,1279218.0,1 hour 59 minutes
Shadowlands,7.3,Richard Attenborough,William Nicholson,72.0,1994,United Kingdom,English,25842377.0,2 hours 11 minutes
49th Parallel,7.3,Michael Powell,"Emeric Pressburger, Rodney Ackland",72.0,1941,United Kingdom,"English, French, German",26748.5,2 hours 3 minutes
Rosencrantz & Guildenstern Are Dead,7.3,Tom Stoppard,Tom Stoppard,72.0,1991,"United Kingdom, United States",English,739104.0,1 hour 57 minutes
A Star Is Born,7.3,"William A. Wellman, Jack Conway, Victor Fleming","Dorothy Parker, Alan Campbell, Robert Carson",77.0,1937,United States,English,8835.0,1 hour 51 minutes
Toni Erdmann,7.3,Maren Ade,Maren Ade,93.0,2016,"Germany, Austria, Monaco, Romania, France, Switzerland, Belgium","French, German, English, Romanian",12002864.0,2 hours 42 minutes
Pusher II,7.3,Nicolas Winding Refn,Nicolas Winding Refn,78.0,2004,"Denmark, United Kingdom","Danish, Serbian",35718.0,1 hour 40 minutes
A Passage to India,7.3,David Lean,"E.M. Forster, Santha Rama Rau, David Lean",78.0,1985,"United Kingdom, United States","English, Hindi",27201487.0,2 hours 44 minutes
Suspicion,7.3,Alfred Hitchcock,"Samson Raphaelson, Joan Harrison, Alma Reville",83.0,1941,United States,English,19.0,1 hour 39 minutes
Starred Up,7.3,David Mackenzie,Jonathan Asser,81.0,2014,United Kingdom,English,3025189.0,1 hour 46 minutes
Brigsby Bear,7.3,Dave McCary,"Kevin Costello, Kyle Mooney",67.0,2017,"United States, China",English,681632.0,1 hour 37 minutes
Pauline à la plage,7.3,Éric Rohmer,Éric Rohmer,72.0,1983,France,"French, Spanish",551.0,1 hour 35 minutes
Shanghai Express,7.3,Josef von Sternberg,"Jules Furthman, Harry Hervey",83.0,1932,United States,"English, French, Cantonese, German",3438.5,1 hour 22 minutes
A Street Cat Named Bob,7.3,Roger Spottiswoode,"James Bowen, Garry Jenkins, Tim John",54.0,2016,"United Kingdom, China",English,16054411.0,1 hour 43 minutes
The Best of Enemies,7.3,Robin Bissell,"Robin Bissell, Osha Gray Davidson",49.0,2019,United States,"English, Latin",10209813.0,2 hours 13 minutes
Phoenix,7.3,Christian Petzold,"Christian Petzold, Harun Farocki, Hubert Monteilhet",89.0,2014,"Germany, Poland","German, English",5855623.0,1 hour 38 minutes
Morte a Venezia,7.3,Luchino Visconti,"Thomas Mann, Luchino Visconti, Nicola Badalucco",72.0,1971,"Italy, France","English, Italian, Polish, French, Russian, German",5597.0,2 hours 10 minutes
Coming Home,7.3,Hal Ashby,"Waldo Salt, Robert C. Jones, Nancy Dowd",61.0,1978,United States,English,32653905.0,2 hours 7 minutes
Tender Mercies,7.3,Bruce Beresford,Horton Foote,76.0,1983,United States,English,8443124.0,1 hour 32 minutes
Kiss of the Spider Woman,7.3,Hector Babenco,"Manuel Puig, Leonard Schrader",80.0,1985,"Brazil, United States","English, French, Portuguese, German",17009654.0,2 hours
Gods and Monsters,7.3,Bill Condon,"Christopher Bram, Bill Condon",74.0,1998,"United States, United Kingdom","English, Hungarian",6451628.0,1 hour 45 minutes
Girl in the Picture,7.3,Skye Borgman,Matt Birkbeck,72.0,2022,United States,English,3253561.5,1 hour 41 minutes
Camilla,7.3,George Cukor,"Zoe Akins, Frances Marion, James Hilton",72.0,1937,United States,"English, French, Latin",8835.0,1 hour 49 minutes
Father Goose,7.3,Ralph Nelson,"Peter Stone, Frank Tarloff, S.H. Barnett",72.0,1964,United States,"English, French, Japanese",119906.5,1 hour 58 minutes
Heaven Can Wait,7.3,Ernst Lubitsch,"Samson Raphaelson, Leslie Bush-Fekete",72.0,1943,United States,"English, French",36089.0,1 hour 52 minutes
Lorenzo's Oil,7.3,George Miller,"George Miller, Nick Enright",80.0,1993,"United States, Australia","English, Italian, Swahili",7286388.0,2 hours 9 minutes
Detour,7.3,Edgar G. Ulmer,"Martin Goldsmith, Martin Mooney",72.0,1946,United States,English,16172.0,1 hour 6 minutes
Hilary and Jackie,7.3,Anand Tucker,"Hilary du Pré, Piers du Pré, Frank Cottrell Boyce",78.0,1999,United Kingdom,English,4912892.0,2 hours 1 minute
Chi Bi,7.3,John Woo,"John Woo, Khan Chan, Cheng Kuo",73.0,2008,"China, Hong Kong, Japan, Taiwan, South Korea, United States",Mandarin,129710514.0,2 hours 25 minutes
The Baader Meinhof Complex,7.3,Uli Edel,"Bernd Eichinger, Uli Edel, Stefan Aust",76.0,2008,"Germany, France, Czech Republic, Morocco, United States","German, English, French, Swedish, Arabic",26937355.0,2 hours 30 minutes
On the Town,7.3,"Stanley Donen, Gene Kelly","Adolph Green, Betty Comden, Jerome Robbins",71.0,1949,United States,English,3657.0,1 hour 38 minutes
Max Manus,7.3,"Joachim Rønning, Espen Sandberg",Thomas Nordseth-Tiller,60.0,2008,"Norway, Denmark, Germany","Norwegian, German, English, Russian, Finnish",15384282.0,1 hour 58 minutes
The Trouble with Angels,7.3,Ida Lupino,"Blanche Hanalis, Jane Trahey",72.0,1966,United States,English,32260.5,1 hour 52 minutes
Desert Flower,7.3,Sherry Hormann,"Waris Dirie, Sherry Hormann, Cathleen Miller",54.0,2009,"United Kingdom, Germany, Austria, France","English, Somali, French",14682943.0,2 hours
Hwanghae,7.3,Na Hong-jin,"Won-Chan Hong, Na Hong-jin",70.0,2010,"South Korea, Hong Kong, United States","Korean, Mandarin",15789762.0,2 hours 37 minutes
Murder in the First,7.3,Marc Rocco,Dan Gordon,72.0,1995,"United States, France",English,17381942.0,2 hours 2 minutes
The Painted Bird,7.3,Václav Marhoul,"Jerzy Kosinski, Václav Marhoul, Tom Abrams",72.0,2019,"Czech Republic, Slovakia, Ukraine","Czech, German, Russian, Latin",659535.0,2 hours 49 minutes
Luftslottet som sprängdes,7.3,Daniel Alfredson,"Jonas Frykberg, Stieg Larsson, Ulf Ryberg",60.0,2009,"Sweden, Denmark, Germany",Swedish,44276335.0,2 hours 27 minutes
Bacurau,7.3,"Juliano Dornelles, Kleber Mendonça Filho","Kleber Mendonça Filho, Juliano Dornelles",82.0,2019,"Brazil, France","Portuguese, English",3554178.0,2 hours 11 minutes
Experiment in Terror,7.3,Blake Edwards,"Gordon Gordon, Mildred Gordon",69.0,1962,United States,"English, Cantonese",27189.0,2 hours 3 minutes
My Favorite Year,7.3,Richard Benjamin,"Norman Steinberg, Dennis Palumbo",62.0,1982,United States,English,20123620.0,1 hour 32 minutes
Shaun the Sheep Movie,7.3,"Mark Burton, Richard Starzak","Mark Burton, Richard Starzak, Nick Park",81.0,2015,"United Kingdom, France","None, English",110549295.0,1 hour 25 minutes
Mona Lisa,7.3,Neil Jordan,"Neil Jordan, David Leland",85.0,1986,United Kingdom,English,5794184.0,1 hour 44 minutes
Sur Mes Lèvres,7.3,Jacques Audiard,"Jacques Audiard, Tonino Benacquista",82.0,2001,France,French,5393526.0,1 hour 55 minutes
Shenandoah,7.3,Andrew V. McLaglen,James Lee Barrett,72.0,1965,United States,English,90869.0,1 hour 45 minutes
"The Pig, the Snake and the Pigeon",7.3,Ching-Po Wong,Ching-Po Wong,72.0,2023,Taiwan,"Mandarin, Cantonese",249655.0,2 hours 14 minutes
Marshall,7.3,Reginald Hudlin,"Michael Koskoff, Jacob Koskoff",66.0,2021,"United States, China, Hong Kong",English,10116816.0,1 hour 58 minutes
Pusher III,7.3,Nicolas Winding Refn,Nicolas Winding Refn,72.0,2005,Denmark,"Serbian, Danish, Polish",1605.0,1 hour 48 minutes
Ala Vaikunthapurramuloo,7.3,Trivikram Srinivas,"Shanoor Mirza, Trivikram Srinivas",72.0,2020,India,Telugu,28477890.0,2 hours 43 minutes
Atlantic City,7.3,Louis Malle,John Guare,85.0,1980,"France, Canada","English, French",12729675.0,1 hour 44 minutes
The Razor's Edge,7.3,Edmund Goulding,"Lamar Trotti, W. Somerset Maugham, Jacques Monteux",72.0,1946,United States,"English, French",40090.5,2 hours 25 minutes
The Field,7.3,Jim Sheridan,"Jim Sheridan, John B. Keane",72.0,1990,Ireland,English,1494399.0,1 hour 47 minutes
Hell's Angels,7.3,"Howard Hughes, Edmund Goulding, James Whale","Marshall Neilan, Joseph Moncure March, Howard Estabrook",72.0,1930,United States,"English, German, French",32712.0,2 hours 7 minutes
The Killing of a Chinese Bookie,7.3,John Cassavetes,John Cassavetes,65.0,1976,United States,English,19399.0,2 hours 15 minutes
Bajirao Mastani,7.3,Sanjay Leela Bhansali,"Nagnath S. Inamdar, Sanjay Leela Bhansali, Mallika Dutt",72.0,2015,India,Hindi,11351628.0,2 hours 38 minutes
El día de la bestia,7.3,Álex de la Iglesia,"Jorge Guerricaechevarría, Álex de la Iglesia",72.0,1995,"Spain, Italy","Spanish, Italian",9984.0,1 hour 43 minutes
Spy X Family Code White,7.3,"Kazuhiro Furuhashi, Takashi Katagiri","Tatsuya Endo, Ichirô Ôkouchi",68.0,2024,Japan,Japanese,59629242.0,1 hour 50 minutes
The Last Black Man in San Francisco,7.3,Joe Talbot,"Jimmie Fails, Joe Talbot, Rob Richert",82.0,2021,United States,English,4637830.0,2 hours 1 minute
42nd Street,7.3,Lloyd Bacon,"Rian James, James Seymour, Bradford Ropes",83.0,1933,United States,English,1800.0,1 hour 29 minutes
Pot Luck,7.3,Cédric Klapisch,Cédric Klapisch,65.0,2002,"France, Spain","French, Spanish, English, Catalan, Danish, German, Italian",33272835.0,2 hours 2 minutes
Byuti Insaideu,7.3,Jong-Yeol Baek,"Seon-jeong Kim, Jeong-ye Park, Kyung-hee Noh",48.0,2015,South Korea,"Korean, Japanese, Czech, English",14301869.0,2 hours 7 minutes
Topsy-Turvy,7.3,Mike Leigh,Mike Leigh,90.0,2000,"United Kingdom, United States","English, French, German, Italian, Japanese",7804439.0,2 hours 40 minutes
Theri,7.3,Atlee,"Atlee, Ramanagirivasan, Rishabh Purohit",72.0,2016,India,Tamil,678057.0,2 hours 37 minutes
The Long Hot Summer,7.3,Martin Ritt,"William Faulkner, Irving Ravetch, Harriet Frank Jr.",72.0,1958,United States,English,17413.0,1 hour 55 minutes
You're Not You,7.3,George C. Wolfe,"Shana Feste, Jordan Roberts, Michelle Wildgen",56.0,2014,United States,"English, American Sign Language",894964.0,1 hour 42 minutes
Reprise,7.3,Joachim Trier,"Joachim Trier, Eskil Vogt",79.0,2006,Norway,Norwegian,1297260.0,1 hour 45 minutes
Uncle Frank,7.3,Alan Ball,Alan Ball,58.0,2020,United States,"English, Arabic",25211175.0,1 hour 35 minutes
Phir Hera Pheri,7.3,Neeraj Vora,Neeraj Vora,72.0,2006,India,Hindi,887272.0,2 hours 33 minutes
Too Late for Tears,7.3,Byron Haskin,Roy Huggins,72.0,1949,United States,"English, Spanish",14768.0,1 hour 39 minutes
Barney's Version,7.3,Richard J. Lewis,"Mordecai Richler, Michael Konyves",67.0,2011,"Italy, Canada","English, French",12106921.0,2 hours 14 minutes
The Bombardment,7.3,Ole Bornedal,Ole Bornedal,72.0,2022,"Denmark, Belgium","Danish, English, German, French",3253561.5,1 hour 47 minutes
Keith,7.3,Todd Kessler,"David Zabel, Todd Kessler, Ron Carlson",72.0,2008,United States,English,11203354.0,1 hour 35 minutes
The Front Page,7.3,Billy Wilder,"Ben Hecht, Charles MacArthur, Billy Wilder",62.0,1974,United States,English,31452.0,1 hour 45 minutes
Baby Doll,7.3,Elia Kazan,Tennessee Williams,83.0,1956,United States,"English, Italian",51.0,1 hour 54 minutes
The Stranger,7.3,Orson Welles,"Anthony Veiller, Victor Trivas, Decla Dunning",76.0,1946,United States,"English, Spanish, French",40090.5,1 hour 35 minutes
Trade,7.3,Marco Kreuzpaintner,"Jose Rivera, Peter Landesman",42.0,2007,"Germany, United States, Mexico","English, Spanish, Polish, Russian",1465077.0,2 hours
The Man with the Golden Arm,7.3,Otto Preminger,"Walter Newman, Lewis Meltzer, Nelson Algren",63.0,1956,United States,English,4652.0,1 hour 59 minutes
Nil by Mouth,7.3,Gary Oldman,Gary Oldman,76.0,1997,"United Kingdom, France",English,284477.0,2 hours 8 minutes
Monsoon Wedding,7.3,Mira Nair,Sabrina Dhawan,77.0,2001,"India, United States, Italy, Germany, France, United Kingdom","Hindi, English",30787356.0,1 hour 54 minutes
Dead Ringer,7.3,Paul Henreid,"Albert Beich, Oscar Millard, Rian James",66.0,1964,United States,English,119906.5,1 hour 56 minutes
Weaving Room,7.3,Martin Ritt,"Irving Ravetch, Harriet Frank Jr.",61.0,1979,United States,English,22228000.0,1 hour 54 minutes
Metropolitan,7.3,Whit Stillman,Whit Stillman,77.0,1990,"United States, Spain",English,2960492.0,1 hour 38 minutes
Constantine: City of Demons,7.3,Doug Murphy,"J.M. DeMatteis, Steve Bissette, John Totleben",72.0,2018,United States,English,11382356.5,1 hour 30 minutes
In the House,7.3,François Ozon,"Juan Mayorga, François Ozon",72.0,2012,France,French,16190771.0,1 hour 45 minutes
The Lodger: A Story of the London Fog,7.3,Alfred Hitchcock,"Marie Belloc Lowndes, Eliot Stannard, Alfred Hitchcock",72.0,1927,United Kingdom,English,83568.0,1 hour 32 minutes
Gaslight,7.3,Thorold Dickinson,"Patrick Hamilton, A.R. Rawlinson, Bridget Boland",72.0,1940,United Kingdom,English,31111.0,1 hour 24 minutes
Under the Same Moon,7.3,Patricia Riggen,Ligiah Villalobos,59.0,2008,"Mexico, United States","Spanish, English",23313049.0,1 hour 46 minutes
Dogfight,7.3,Nancy Savoca,Bob Comfort,56.0,1991,United States,English,394631.0,1 hour 34 minutes
Manhattan Murder Mystery,7.3,Woody Allen,"Woody Allen, Marshall Brickman",71.0,1993,United States,English,11330911.0,1 hour 44 minutes
The Railway Children,7.3,Lionel Jeffries,"E. Nesbit, Lionel Jeffries",72.0,1970,United Kingdom,"English, French, Russian",32239.0,1 hour 49 minutes
Richard III,7.3,Richard Loncraine,"Ian McKellen, Richard Loncraine, Richard Eyre",86.0,1995,"United Kingdom, United States",English,2748518.0,1 hour 50 minutes
"Deux jours, une nuit",7.3,"Jean-Pierre Dardenne, Luc Dardenne","Jean-Pierre Dardenne, Luc Dardenne",89.0,2014,"Belgium, France, Italy","French, Arabic, English",9016922.0,1 hour 35 minutes
The In-Laws,7.3,Arthur Hiller,Andrew Bergman,69.0,1979,United States,"English, Spanish, Mandarin",20101247.0,1 hour 43 minutes
A New Leaf,7.3,Elaine May,"Elaine May, Jack Ritchie",72.0,1971,United States,"English, Latin",19268.5,1 hour 42 minutes
The Beast of War,7.3,Kevin Reynolds,William Mastrosimone,72.0,1988,United States,"English, Pashtu",161004.0,1 hour 51 minutes
Rundskop,7.3,Michaël R. Roskam,Michaël R. Roskam,68.0,2011,"Belgium, Netherlands","Flemish, French, Dutch",4483147.0,2 hours 9 minutes
The Keeper,7.3,Marcus H. Rosenmüller,"Marcus H. Rosenmüller, Nicholas J. Schofield, Robert Marciniak",52.0,2019,"United Kingdom, Germany","English, German",1916514.0,2 hours
Palm Trees in the Snow,7.3,Fernando González Molina,"Sergio G. Sánchez, Luz Gabás",72.0,2015,Spain,"Spanish, Kriolu, Aragonese",18428235.0,2 hours 43 minutes
Written on the Wind,7.3,Douglas Sirk,"George Zuckerman, Robert Wilder",86.0,1956,United States,English,14163.0,1 hour 39 minutes
This Youth Is Crazy,7.3,Ayan Mukerji,"Hussain Dalal, Ayan Mukerji",72.0,2013,India,Hindi,30991781.0,2 hours 40 minutes
Camille Claudel,7.3,Bruno Nuytten,"Reine-Marie Paris, Bruno Nuytten, Marilyn Goldin",72.0,1988,France,"French, English",3331892.0,2 hours 55 minutes
Kansas City Confidential,7.3,Phil Karlson,"George Bruce, Harry Essex, Harold Greene",72.0,1952,United States,"English, Spanish",22324.0,1 hour 39 minutes
Roma,7.3,Federico Fellini,"Federico Fellini, Bernardino Zapponi",72.0,1972,"Italy, France","Italian, German, English, French, Latin, Spanish",807.0,2 hours
Run Silent Run Deep,7.3,Robert Wise,"John Gay, Edward L. Beach",62.0,1958,United States,"English, Japanese",17413.0,1 hour 33 minutes
National Velvet,7.3,Clarence Brown,"Enid Bagnold, Theodore Reeves, Helen Deutsch",83.0,1945,United States,English,24113.0,2 hours 3 minutes
Loft,7.3,Erik Van Looy,Bart De Pauw,72.0,2008,Belgium,Flemish,9168516.0,1 hour 58 minutes
"Sorry, Wrong Number",7.3,Anatole Litvak,Lucille Fletcher,72.0,1948,United States,English,1974.0,1 hour 29 minutes
The Spiral Staircase,7.3,Robert Siodmak,"Mel Dinelli, Ethel Lina White",72.0,1946,United States,English,40090.5,1 hour 23 minutes
Love Jones,7.3,Theodore Witcher,Theodore Witcher,65.0,1997,United States,English,12782749.0,1 hour 49 minutes
Der Fall Collini,7.3,Marco Kreuzpaintner,"Christian Zübert, Robert Gold, Jens-Frederik Otto",72.0,2019,Germany,"German, Italian, Latin",7080720.0,2 hours 3 minutes
The Sum of Us,7.3,"Geoff Burton, Kevin Dowling",David Stevens,72.0,1994,Australia,English,766464.0,1 hour 40 minutes
Oh Boy,7.3,Jan-Ole Gerster,Jan-Ole Gerster,63.0,2012,Germany,"German, English",2826333.0,1 hour 26 minutes
I.D.,7.3,Phil Davis,"James Bannon, Vincent O'Connell",72.0,1995,"United Kingdom, Germany",English,4131135.5,1 hour 47 minutes
The Three Burials of Melquiades Estrada,7.3,Tommy Lee Jones,Guillermo Arriaga,77.0,2005,"France, Mexico, United States","English, Spanish",12045362.0,2 hours 1 minute
The Americanization of Emily,7.3,Arthur Hiller,"Paddy Chayefsky, William Bradford Huie",68.0,1964,United States,English,119906.5,1 hour 55 minutes
Le dernier métro,7.3,François Truffaut,"François Truffaut, Suzanne Schiffman, Jean-Claude Grumberg",72.0,1980,France,"French, German, Italian",3007945.0,2 hours 12 minutes
Time Masters,7.3,René Laloux,"Stefan Wul, René Laloux, Jean 'Moebius' Giraud",72.0,1982,"France, Switzerland, West Germany, United Kingdom, Hungary",French,43686.0,1 hour 18 minutes
Last Train from Gun Hill,7.3,John Sturges,"Les Crutchfield, James Poe",72.0,1959,United States,English,134241.0,1 hour 35 minutes
The Snow Walker,7.3,Charles Martin Smith,"Charles Martin Smith, Farley Mowat",72.0,2004,Canada,"English, Inuktitut",201149.0,1 hour 43 minutes
Cheong-nyeon-gyeong-chal,7.3,Joo-hwan Kim,Joo-hwan Kim,72.0,2017,South Korea,Korean,39730433.0,1 hour 49 minutes
So Weit Die Füße Tragen,7.3,Hardy Martins,"Josef Martin Bauer, Bastian Clevé, Hardy Martins",72.0,2001,Germany,"German, Russian, Latin",804608.0,2 hours 38 minutes
Une femme est une femme,7.3,Jean-Luc Godard,"Geneviève Cluny, Jean-Luc Godard",71.0,1961,"France, Italy",French,101747.0,1 hour 25 minutes
Lust for Life,7.3,"Vincente Minnelli, George Cukor","Norman Corwin, Irving Stone",68.0,1956,United States,English,9859.0,2 hours 2 minutes
Enchanted April,7.3,Mike Newell,"Elizabeth von Arnim, Peter Barnes",78.0,1992,United Kingdom,"English, Italian",13200170.0,1 hour 35 minutes
Richard III,7.3,Laurence Olivier,"William Shakespeare, Laurence Olivier, David Garrick",88.0,1956,United Kingdom,"English, Latin",9859.0,2 hours 41 minutes
Pumping Iron,7.3,"George Butler, Robert Fiore","Charles Gaines, George Butler",72.0,1977,United States,English,218872.0,1 hour 26 minutes
Interiors,7.3,Woody Allen,Woody Allen,67.0,1978,United States,English,10432366.0,1 hour 32 minutes
Gongjak,7.3,Yoon Jong-bin,"Yoon Jong-bin, Park Myeong-chan, Kwon Sung-hui",69.0,2018,South Korea,"Korean, Mandarin, Japanese",38844509.0,2 hours 17 minutes
Shogun Assassin,7.3,"Robert Houston, Kenji Misumi","Robert Houston, Kazuo Koike, Goseki Kojima",72.0,1980,Japan,Japanese,9709597.0,1 hour 25 minutes
I Kina spiser de hunde,7.3,Lasse Spang Olsen,Anders Thomas Jensen,72.0,1999,Denmark,"Danish, English, Serbian, German",6031521.0,1 hour 31 minutes
The Roast of Tom Brady,7.3,Beth McCarthy-Miller,"Mike Gibbons, Benji Aflalo, Pat Barker",72.0,2024,United States,English,6600000.0,2 hours 59 minutes
